model,pr_auc,inference_time_full_testset_s_mean,inference_time_full_testset_s_std,inference_time_per_sample_ms,model_size_bytes,trainable_params,complexity
tc_svm,0.9816720404410215,13.870034968527033,0.25990236343097034,0.3769031241447563,839579,,{'support_vectors': 23276}
random_forest,0.9831574878553638,0.07587169534526765,0.009199308188813843,0.0020617308517735774,24941945,,{'n_estimators': 300}
xgboost,0.9835914129863939,0.005569925298914313,0.001028965370627156,0.0001513566657313672,176301,,{'n_estimators': 100}
mlp,0.9991638252053245,0.00010869675315916538,2.811402118304333e-05,0.00013587094144895673,71209,16897.0,{}
lstm,0.9997612623055827,0.00839846283197403,0.0032919598486126967,0.010498078539967537,55989,12961.0,{}
autoencoder,0.998330785493923,9.613507427275181e-05,4.5588255425997185e-05,0.00012016884284093977,23027,4502.0,{}
