accuracy,precision,recall,f1,auc,fold
0.9640625,0.9459459459459459,0.984375,0.9647779479326187,0.997119140625,1
0.971875,0.9520958083832335,0.99375,0.9724770642201835,0.997744140625,2
0.959375,0.9375,0.984375,0.9603658536585366,0.99677734375,3
0.953125,0.9367469879518072,0.971875,0.9539877300613497,0.99537109375,4
0.9640625,0.9655172413793104,0.9625,0.9640062597809077,0.9934375,5
