timestep,occlusion_importance,permutation_importance,integrated_gradients_importance
1,0.0023273846600204706,0.0025000000000000577,0.015902359038591385
2,0.002614655764773488,0.0012500000000000844,0.01670711860060692
3,0.0029384505469352007,0.0050000000000000044,0.016720280051231384
4,0.003927478101104498,0.003750000000000031,0.01862505078315735
5,0.0035091268364340067,0.0050000000000000044,0.018845658749341965
6,0.0031492868438363075,0.0012500000000000844,0.017931414768099785
7,0.00249811471439898,-0.0012499999999999734,0.018561050295829773
8,0.0032478999346494675,0.0,0.019205410033464432
9,0.002896868856623769,0.0,0.01840703748166561
10,0.003260103054344654,0.0025000000000000577,0.020291056483983994
11,0.0027144146151840687,0.0025000000000000577,0.01884537562727928
12,0.0029413076117634773,0.0,0.02003570832312107
13,0.0034303481224924326,-0.0024999999999999467,0.021801626309752464
14,0.0028476063162088394,0.0012500000000000844,0.02031606435775757
15,0.0035108118318021297,0.003750000000000031,0.021301394328475
16,0.0029579882975667715,0.0012500000000000844,0.020636819303035736
17,0.003303240053355694,-0.0024999999999999467,0.021975720301270485
18,0.0038253748789429665,-0.0012499999999999734,0.021445920690894127
19,0.003111946629360318,0.0,0.021846676245331764
20,0.0033555282279849052,0.0012500000000000844,0.022342126816511154
21,0.0030638393945991993,0.0012500000000000844,0.022243687883019447
22,0.003261314006522298,0.0,0.021953849121928215
23,0.0031766979955136776,0.0012500000000000844,0.023034805431962013
24,0.004460932221263647,0.0,0.022987890988588333
25,0.003985398914664984,0.0025000000000000577,0.023854579776525497
26,0.00400953833013773,0.003750000000000031,0.02356286346912384
27,0.0031023751944303513,0.0025000000000000577,0.022866668179631233
28,0.00421737739816308,0.0,0.02482861839234829
29,0.004458274692296982,0.0050000000000000044,0.024931643158197403
30,0.003820509882643819,0.0012500000000000844,0.024563992395997047
31,0.0031104767695069313,0.0,0.02412678301334381
32,0.0035793178249150515,0.0,0.024147354066371918
33,0.003705972107127309,0.0,0.023901894688606262
34,0.003581168595701456,0.0012500000000000844,0.02419450134038925
35,0.004525430966168642,0.0,0.02525215782225132
36,0.004165019374340773,0.003750000000000031,0.026511164382100105
37,0.0038007081020623446,0.0012500000000000844,0.025618229061365128
38,0.003679900662973523,0.0025000000000000577,0.023797977715730667
39,0.004259880166500807,0.0,0.025069404393434525
40,0.004565141163766384,0.003750000000000031,0.02437184751033783
41,0.005635758861899376,0.0025000000000000577,0.025412671267986298
42,0.004752218257635832,0.003750000000000031,0.026706799864768982
43,0.003867384744808078,0.0025000000000000577,0.02592366747558117
44,0.003444834379479289,0.0025000000000000577,0.025381289422512054
45,0.0036239142064005136,0.0025000000000000577,0.02414310909807682
46,0.004447590559720993,0.003750000000000031,0.026551254093647003
47,0.0037345855962485075,0.0025000000000000577,0.024862147867679596
48,0.004340621177107096,0.0012500000000000844,0.024225756525993347
49,0.002826094627380371,0.0012500000000000844,0.01918874680995941
50,0.001810768386349082,-0.0012499999999999734,0.01244949921965599
