E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,LABEL
31.3409825711651,71.3882601007338,147.733106687303,48.2334919638707,2.94282575004171,94.3089109036426,9.77640551730835,1.16462692191193,316.229831771237,222.831183134139,73.2247819651653,268.810046317229,14.5477664492584,28.5903524634964,73.7462752215585,4.00601798481565,51.3303970536949,73.5074160547771,93.7289355558906,196.917698444012,14.8898312990185,44.3488078879279,19.9476951752668,79.6836446841778,15.1705516609173,82.5794157543267,77.1662631993189,11.3262017692555,2.43690618064031,14.1637348323846,82.1900201824742,47.3488357728776,37.7055471412537,98.7364332108789,238.743887626548,61.8562218145879,16.268518909846,37.8261052112813,46.3105216494082,107.533976475554,34.7452022732689,1.0279492948007,22.1731799499712,185.627724268199,28.7143671148685,2.3658420155019,5.49300823944152,103.895492074251,44.6717612845116,143.731248529805,0
54.2818496925053,16.0790284613435,139.43458352153,88.9479979658876,33.2823700588893,130.841269452733,36.0980947593843,71.7447433066754,694.074325076621,171.453265165727,355.9858393549,175.614164868978,106.259721163464,357.93371343008,327.622910205424,2.14321682112099,221.13348626773,85.6485581922907,88.7056763422187,262.248003595754,384.330065524606,51.6329133591652,185.108298870396,39.2050887825555,3.7701977199186,41.6112868456351,156.947645783399,23.4585478976828,33.6442871197529,203.539232230842,9.57081428961087,132.548650538089,202.249745771679,55.2232942558275,187.245948753145,129.163378428731,28.9507960142013,21.4592892673778,95.8150586520332,137.580047852487,46.6604207060194,7.21852959292862,55.6483497162393,186.390718999531,79.2285977560278,63.0278712699944,74.2970253422185,50.4564900827734,43.0256838193072,164.154286084139,1
16.8863949751152,18.6293251692482,15.1868028671961,98.2207651493422,121.127719014902,21.4393814809127,6.82755009031215,12.1068189415987,11.4056577376584,16.6000233643439,20.4871647145211,2.92593259470658,78.7278791899679,37.3925463574433,129.142282953656,8.58819367653613,38.9662011429702,24.8123528115471,20.4333394714343,27.3934303742271,79.6030627692035,19.9848244002579,18.3792889323869,8.1858204866448,5.62953469371823,33.2384829640913,18.409350132636,3.16455306055359,196.674059952061,63.9406276547391,162.957239902278,54.9003687482902,5.07181975077101,65.092920974055,32.702816364138,91.7064078807111,128.921173206716,59.4242629355605,190.347938746641,6.97886883198675,51.1320620731296,6.32773071722178,7.41530214500772,37.6997634253534,18.5863086180218,69.5108639654555,76.5339392991532,12.7993514017667,6.69906761149854,18.7482720471765,0
17.1568219603727,79.8112678647007,93.5277867238344,40.4108837333272,101.126633738783,87.6014103807528,67.1155325778392,14.6958259941686,110.664717937191,15.1144053824303,125.313657287605,66.40834708736,30.3625269310906,13.1332297806253,115.805468216732,6.42467439876544,76.1350967353704,24.4156893871902,27.1611179197454,0.243906749340201,143.346784975413,60.9038335087107,2.4159550783462,11.325330313617,42.8758058445656,17.7277387950822,98.78073021725,28.6147661215783,147.046515615502,10.8759568748442,176.991733284645,60.9976928279352,6.25479217261484,41.0733217281767,117.102505038934,169.073627933904,53.7421575239145,82.1804163951791,45.8710458526161,14.6109012517593,45.7519826975513,1.96635811535359,14.3387964164901,51.0923113602626,38.6825163671093,265.081000630628,152.642808453471,113.06214292348,19.9823560986984,85.1036137023342,1
78.4744294795689,36.2000526237036,31.5337586642041,83.4161113256784,86.3901744075447,99.0794078546801,0.257247334248529,22.9855208939904,0.32520672712618,75.9055055094833,120.353700695902,134.144380777176,27.6983220137525,62.2582172013138,67.6567059260873,2.95137109281854,16.1828155476496,17.7177895220312,33.9270803350475,107.851128326354,27.4331505879901,6.86288912320548,47.966855669207,14.6265810976482,205.393035508883,24.4016295231796,51.4985298256003,1.32360967141962,26.8839712908406,22.9899703444975,14.0376017894581,20.6664287953781,47.5687669218437,10.540780061672,12.2834568448917,29.1447541720141,2.4266836154532,79.5746710642498,166.677071430162,56.2794688961649,15.7994637650539,98.5077477418187,70.8528376728843,1.54924746591541,119.977811500857,56.9201190986615,19.6957202041146,0.986346258876218,11.9347849538435,26.417171299686,0
152.648482934798,133.874037994163,65.749932007457,20.3269931165151,72.0368517409499,161.644236972182,13.0012075190857,43.3757228917161,108.52723511197,240.326092348067,132.381180861121,91.9257894673575,45.5324140251565,24.4837608039487,204.185116819823,60.8352938705597,43.7967972443064,0.0218006504749118,113.209001142525,31.8177251098642,50.1194573500289,7.18796992564511,43.8755080134174,23.7153631148289,101.579513386538,37.4684617327545,31.1650193687661,35.3839488692786,59.4335499374346,86.9187911348833,2.7751131461087,62.5474280857397,72.937364138029,271.585467970069,41.748895321022,245.5628012048,44.1840861727939,98.8375591107387,172.080606626093,18.4459815010787,96.0406506363236,184.923596837872,288.397017058323,2.8788335452002,236.755658734776,30.9186932269813,103.596561989236,84.2463034746288,55.6151763854624,128.942615050101,1
11.8530424986084,10.3498434928725,27.0499418092442,29.3968415819814,8.98490339742006,109.291627888461,40.6772396309028,148.216828753387,66.0014949928997,19.7178006710968,3.51640922325065,52.993458492919,13.9729084577433,11.2418804036812,153.11720572763,34.7035501145616,58.5080193928156,14.5005774956352,22.7714357125241,64.6304069937893,104.237708115543,14.3137140774057,12.3757495202053,61.1709259249068,27.7274229286282,31.2772151690643,18.1484816076317,64.3113371927962,391.866837596608,2.97362529112471,66.1669071668496,88.3769006788302,66.2992286457419,27.9687729997025,216.424674355883,9.21206796339371,91.4142548775843,8.16783890118641,55.205746839216,121.207677239079,69.7843201410662,33.7141697520553,15.2080529120788,26.7803416138501,84.75433944018,56.5465182554403,29.842206302684,5.45701843027574,33.5776290099638,43.8788687436032,0
40.3736276829037,62.7333541115219,6.9204996064966,11.0830910981787,58.1084624508379,132.31153927031,87.1338837625545,114.092520750679,27.3963219002292,18.464379608419,6.36572674910199,79.4649925316833,208.422846940421,5.02328556530843,11.309993018655,26.3927100044397,23.1859980944633,19.4801979319085,17.6320679567261,78.9391672423997,129.537155636663,30.7448997299177,57.1758760880359,43.3499458987492,8.54156193061737,73.6373429881487,305.911629031755,217.121933163303,468.673134871272,111.868149262418,32.3250915229439,185.521430328599,111.191693177146,269.246330789239,286.03981969893,26.3492280102263,249.76505610889,88.788185965775,343.308453967026,120.2665660111,84.0017223514293,82.5245556176074,3.54524860168284,192.451321947217,144.39090565001,188.861697921709,97.3284703567289,230.623525880745,31.8825408062758,189.662719509607,1
33.1814505128846,74.8320909799079,104.158230720406,5.93881487606456,95.331266920373,7.77214989718739,26.8681065705979,24.61674338465,1.18418544068926,2.97769822210966,91.024810862264,53.0031516810909,194.451597876452,123.891864427701,10.8844479929292,78.6784427805516,190.196307970846,132.296404002842,21.5566075929031,152.947107042665,144.872763973447,35.3134179237357,10.8916416348131,46.520411733548,79.5987137734631,1.88688101468042,39.646359536368,7.08713100883698,10.8812643055483,76.7350106820981,15.6672517751664,45.719218789623,12.5779393463739,16.3679965182768,67.1833360753917,166.525665940717,4.66505271888852,0.710833068715354,46.5109543857885,65.9290340463309,10.6670955981157,58.6126449166598,116.516034147233,21.6545035432867,9.08591654551556,81.2244515002198,62.450177697978,14.0121723813302,47.0230496768816,53.3422758325391,0
15.9251812111569,45.7481948434159,40.6263104373084,66.0730076552944,8.30489535317777,34.4749410275325,47.4109365312292,68.346331766493,74.5339877786282,27.3510013788438,193.107511472919,205.991909195482,137.894060251348,65.188901397332,53.1491492111655,118.674695114801,244.552101862184,227.097728783203,14.2991066598505,168.688674307631,139.580477812284,7.7712850368065,57.1762305787636,87.3379812945996,119.469384100751,1.55859804816148,35.9041119930427,7.10229813436439,17.4002208989215,5.31563771932368,4.33554972911223,172.17245030876,18.7437778625008,103.729905334657,99.0575720021481,133.213703736138,101.77086692561,155.531036459047,10.4305562821493,134.027090988874,3.20247147534691,113.683291981223,359.423222370278,76.2775515997125,66.7114445044925,197.889739222913,118.32184093742,100.556019770664,68.375303691696,128.346937670155,1
